#ssr105
time, distance, theta, 
48.2079, 0.816314, 0.0510509, 
48.313, 0.817641, 0.0283616, 
48.4156, 0.820506, 0.00567232, 
48.5212, 0.818662, -0.017017, 
48.6259, 0.817641, -0.0283616, 
48.7285, 0.749199, -0.0340339, 
48.8341, 0.463858, -0.0964294, 
48.9365, 0.689918, -0.0623955, 
49.0415, 0.738889, 0.850848, 
49.1447, 0.747149, -0.0794125, 
49.2483, 0.688769, -0.0964294, 
49.3525, 0.63869, -0.102102, 
49.4558, 0.63869, -0.102102, 
49.4981, 0.493059, -0.0567232, 
49.5959, 0.558127, -0.0567232, 
49.6986, 0.596881, -0.0510509, 
49.8027, 0.640771, -0.0453786, 
49.8371, 0.640771, -0.0453786, 
49.8759, 0.597469, -0.0397062, 
49.9772, 0.559317, -0.0340339, 
50.0813, 0.559317, -0.0340339, 
50.1228, 0.526442, -0.017017, 
50.2205, 0.54991, -0.692023, 
50.3246, 0.39767, -0.0226893, 
50.4287, 0.378659, -0.017017, 
50.5333, 0.359125, -0.0340339, 
50.6371, 0.342685, -0.0283616, 
50.7415, 0.327457, -0.0226893, 
50.8438, 0.312331, -0.0283616, 
50.8805, 0.298191, -0.0340339, 
50.9847, 0.230067, -0.0453786, 
51.0881, 0.1875, -0.0510509, 
51.1919, 0.153304, -0.0567232, 
51.2957, 0.221093, 0.0397062, 
51.4019, 0.1875, 0.0510509, 
52.0051, 0.367803, 0.697695, 
52.0936, 0.317126, 0.703368, 
52.1984, 0.276578, 0.584249, 
52.303, 0.253707, 0.482147, 
52.4057, 0.232848, 0.448113, 
52.9434, 2, 0, 
53.03, 3.92533, 0.845176, 
53.0678, 3.92527, 0.85652, 
53.1699, 2, 0, 
53.2727, 2, 0, 
53.3085, 3.9251, 0.890554, 
53.411, 6.17072, 0.865029, 
53.4492, 1.50929, 0.862193, 
53.552, 3.92564, 0.788452, 
53.6547, 2, 0, 
53.7583, 2, 0, 
53.7955, 2, 0, 
53.8981, 3.92539, 0.833831, 
54.5032, 0.889348, -0.692023, 
54.5914, 0.740006, -0.657989, 
54.6291, 0.740229, -0.623955, 
54.7318, 0.682649, -0.584249, 
54.838, 0.683064, -0.527526, 
54.9391, 0.657895, -0.445277, 
55.0444, 0.634473, -0.374373, 
55.1463, 0.658757, -0.35452, 
55.1833, 0.685329, -0.289288, 
55.2858, 0.635621, -0.272271, 
55.3243, 0.63659, -0.204204, 
55.4241, 0.614313, -0.190023, 
55.4607, 0.637857, -0.136136, 
55.5648, 0.639016, -0.0907571, 
55.6673, 0.640771, -0.0453786, 
55.7728, 0.65142, 0, 
55.8757, 0.642279, 0.0226893, 
55.9159, 0.596387, 0.0623955, 
56.0139, 0.63869, 0.102102, 
56.1184, 0.638391, 0.113446, 
56.1528, 0.637857, 0.136136, 
56.1894, 0.637174, 0.17017, 
56.2925, 0.63659, 0.204204, 
56.3959, 0.686247, 0.22122, 
56.4312, 0.636242, 0.226893, 
56.4649, 0.635768, 0.260927, 
56.5695, 0.635621, 0.272271, 
56.6048, 0.685193, 0.300633, 
56.7085, 0.68506, 0.311978, 
56.7446, 0.634705, 0.351684, 
56.8476, 0.634587, 0.363028, 
56.8839, 0.684227, 0.39139, 
56.9866, 0.634145, 0.408407, 
57.0228, 0.633938, 0.431096, 
57.1256, 0.683612, 0.459458, 
57.2297, 0.683516, 0.470803, 
57.2636, 0.633549, 0.476475, 
57.3037, 0.683423, 0.482147, 
57.4043, 0.683331, 0.493492, 
57.508, 0.610831, 0.502, 
57.6117, 0.633187, 0.521853, 
57.7142, 0.633187, 0.521853, 
57.7527, 0.589709, 0.504836, 
57.8532, 0.63374, 0.453786, 
57.963, 0.634145, 0.408407, 
58.0644, 0.591035, 0.357356, 
58.1695, 0.591662, 0.300633, 
58.276, 0.635921, 0.249582, 
58.3773, 0.63697, 0.181514, 
58.4793, 0.594373, 0.130463, 
58.5855, 0.576035, 0.0765763, 
58.6875, 0.598208, 0.0283616, 
58.7924, 0.524682, -0.0397062, 
58.8966, 0.557267, -0.0794125, 
59.001, 0.555749, -0.136136, 
59.106, 0.555066, -0.17017, 
59.2083, 0.59289, -0.209876, 
